titre;pid;issn;eissn;;;;
Acta Pharmacologica Sinica;aps;1671-4083;1745-7254;;;;
American Journal of Gastroenterology;ajg;0002-9270;1572-0241;;;;
American Journal of Gastroenterology Supplements;ajgsup;1948-9498;1948-9501;;;;
Asian Journal of Andrology;aja;1008-682X;1745-7262;;;;
Blood Cancer Journal;bcj;;2044-5385;;;;
Bone Marrow Transplantation;bmt;0268-3369;1476-5365;;;;
BoneKEy Reports;bonekey/bonekeyreports/;;2047-6396;;;;
British Dental Journal;bdj;0007-0610;1476-5373;;;;
British Journal of Cancer;bjc;0007-0920;1532-1827;;;;
Cancer Gene Therapy;cgt;0929-1903;1476-5500;;;;
Cell Death & Differentiation;cdd;1350-9047;1476-5403;;;;
Cell Death & Disease;cddis;;2041-4889;;;;
Cell Research;cr;1001-0602;1748-7838;;;;
Cellular & Molecular Immunology;cmi;1672-7681;2042-0226;;;;
Clinical & Translational Immunology;cti;;2050-0068;;;;
Clinical and Translational Gastroenterology;ctg;;2155-384X;;;;
Clinical Pharmacology & Therapeutics;clpt;0009-9236;1532-6535;;;;
CPT: Pharmacometrics & Systems Pharmacology;psp;;2163-8306;;;;
EMBO reports;embor;1469-221X;1469-3178;;;;
Emerging Microbes & Infections;emi;;2222-1751;;;;
European Journal of Clinical Nutrition;ejcn;0954-3007;1476-5640;;;;
European Journal of Human Genetics;ejhg;1018-4813;1476-5438;;;;
Evidence-Based Dentistry;ebd;1462-0049;1476-5446;;;;
Experimental & Molecular Medicine;emm;1226-3613;2092-6413;;;;
Eye;eye;0950-222X;1476-5454;;;;
Gene Therapy;gt;0969-7128;1476-5462;;;;
Genes and Immunity;gene;1466-4879;1476-5470;;;;
Genetics in Medicine;gim;1098-3600;1530-0366;;;;
Heredity;hdy;0018-067X;1365-2540;;;;
History of the journal Nature;nature/history/;;;;;;
Hypertension Research;hr;0916-9636;1348-4214;;;;
IBMS BoneKEy;bonekey;;1940-8692;;;;
Immunology & Cell Biology;icb;0818-9641;1440-1711;;;;
International Journal of Impotence Research;ijir;0955-9930;1476-5489;;;;
International Journal of Obesity;ijo;0307-0565;1476-5497;;;;
International Journal of Obesity Supplements;ijosup;2046-2166;2046-2174;;;;
International Journal of Oral Science;ijos;1674-2818;2049-3169;;;;
JID Symposium Proceedings;jidsp;1087-0024;1529-1774;;;;
Journal of Cerebral Blood Flow and Metabolism;jcbfm;0271-678X;1559-7016;;;;
Journal of Exposure Science and Environmental Epidemiology;jes;1559-0631;1559-064X;;;;
Journal of Human Genetics;jhg;1434-5161;1435-232X;;;;
Journal of Human Hypertension;jhh;0950-9240;1476-5527;;;;
Journal of Investigative Dermatology;jid;0022-202X;1523-1747;;;;
Journal of Perinatology;jp;0743-8346;1476-5543;;;;
Kidney International ;ki;0085-2538;1523-1755;;;;
Kidney International Supplements;kisup;2157-1724;2157-1716;;;;
Laboratory Investigation;labinvest;0023-6837;1530-0307;;;;
Leukemia;leu;0887-6924;1476-5551;;;;
Leukemia Supplements;leusup;2044-5210;2044-5229;;;;
Light: Science & Applications;lsa;;2047-7538;;;;
Modern Pathology;modpathol;0893-3952;1530-0285;;;;
Molecular Psychiatry;mp;1359-4184;1476-5578;;;;
Molecular Systems Biology;msb;;1744-4292;;;;
Molecular Therapy;mt;1525-0016;1525-0024;;;;
Molecular Therapy — Nucleic Acids;mtna;;2162-2531;;;;
Mucosal Immunology;mi;1933-0219;1935-3456;;;;
Nature;nature;0028-0836;1476-4687;;;;
Nature Arabic Edition;http://arabicedition.nature.com.gate1.inist.fr/;;;;;;
Nature Biotechnology;nbt;1087-0156;1546-1696;;;;
Nature Cell Biology;ncb;1465-7392;1476-4679;;;;
Nature Chemical Biology;nchembio;1552-4450;1552-4469;;;;
Nature Chemistry;nchem;1755-4330;1755-4349;;;;
Nature Climate Change;nclimate;1758-678X;1758-6798;;;;
Nature Communications;ncomms;;2041-1723;;;;
Nature Digest;ndigest;1880-0556;;;;;
Nature Genetics;ng;1061-4036;1546-1718;;;;
Nature Geoscience;ngeo;1752-0894;1752-0908;;;;
Nature Immunology;ni;1529-2908;1529-2916;;;;
Nature Materials;nmat;1476-1122;1476-4660;;;;
Nature Medicine;nm;1078-8956;1546-170X;;;;
Nature Methods;nmeth;1548-7091;1548-7105;;;;
Nature Nanotechnology;nnano;1748-3387;1748-3395;;;;
Nature Neuroscience;neuro;1097-6256;1546-1726;;;;
Nature Photonics;nphoton;1749-4885;1749-4893;;;;
Nature Physics;nphys;1745-2473;1745-2481;;;;
Nature Protocols;nprot;1754-2189;1750-2799;;;;
Nature Reviews Cancer;nrc;1474-175X;1474-1768;;;;
Nature Reviews Cardiology ;nrcardio;1759-5002;1759-5010;;;;
Nature Reviews Clinical Oncology;nrclinonc;1759-4774;1759-4782;;;;
Nature Reviews Drug Discovery;nrd;1474-1776;1474-1784;;;;
Nature Reviews Endocrinology;nrendo;1759-5029;1759-5037;;;;
Nature Reviews Gastroenterology and Hepatology;nrgastro;1759-5045;1759-5053;;;;
Nature Reviews Genetics;nrg;1471-0056;1471-0064;;;;
Nature Reviews Immunology;nri;1474-1733;1474-1741;;;;
Nature Reviews Microbiology;nrmicro;1740-1526;1740-1534;;;;
Nature Reviews Molecular Cell Biology;nrm;1471-0072;1471-0080;;;;
Nature Reviews Nephrology ;nrneph;1759-5061;1759-507X;;;;
Nature Reviews Neurology ;nrneurol;1759-4758;1759-4766;;;;
Nature Reviews Neuroscience;nrn;1471-003X;1471-0048;;;;
Nature Reviews Rheumatology ;nrrheum;1759-4790;1759-4804;;;;
Nature Reviews Urology ;nrurol;1759-4812;1759-4820;;;;
Nature Structural and Molecular Biology;nsmb;1545-9993;1545-9985;;;;
Neuropsychopharmacology;npp;0893-133X;1470-634X;;;;
NPG Asia Materials;am;;1884-4057;;;;
Nutrition & Diabetes;nutd;;2044-4052;;;;
Oncogene;onc;0950-9232;1476-5594;;;;
Oncogenesis;oncsis;;2157-9024;;;;
Pediatric Research;pr;0031-3998;1530-0447;;;;
Polymer Journal;pj;0032-3896;1349-0540;;;;
Prostate Cancer and Prostatic Diseases;pcan;1365-7852;1476-5608;;;;
SciBX: Science-Business eXchange;scibx;;1945-3477;;;;
Scientific American;scientificamerican;0036-8733;;;;;
Scientific American Mind;scientificamericanmind;1555-2284;;;;;
Scientific Reports;srep;;2045-2322;;;;
Spinal Cord;sc;1362-4393;1476-5624;;;;
The EMBO Journal;emboj;0261-4189;1460-2075;;;;
The ISME Journal;ismej;1751-7362;1751-7370;;;;
The Journal of Antibiotics;ja;0021-8820;1881-1469;;;;
The Pharmacogenomics Journal;tpj;1470-269X;1473-1150;;;;
Translational Psychiatry;tp;;2158-3188;;;;
Vital;vital;1741-7503;1741-7511;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
